"","self_employed","no_employees","remote_work","tech_company"
"629","No","6-25","No","Yes"
"630","No","6-25","Yes","Yes"
"631","No","100-500","Yes","Yes"
"632","No","100-500","No","No"
"633","No","26-100","No","Yes"
"634","Yes","6-25","No","Yes"
"635","No","26-100","No","Yes"
"636","Yes","1-5","Yes","Yes"
"637","Yes","1-5","Yes","Yes"
"638","No","26-100","No","Yes"
"639","No","26-100","No","Yes"
"640","No","More than 1000","No","No"
"641","No","26-100","No","Yes"
"642","No","100-500","No","No"
"643","Yes","6-25","No","Yes"
"644","No","26-100","No","Yes"
"645","No","26-100","No","Yes"
"646","No","100-500","No","No"
"647","No","6-25","No","Yes"
"648","No","More than 1000","Yes","No"
"649","No","100-500","No","Yes"
"650","Yes","1-5","Yes","Yes"
"651","No","500-1000","No","No"
"652","No","500-1000","No","No"
"653","No","6-25","No","Yes"
"654","No","1-5","No","Yes"
"655","Yes","1-5","Yes","Yes"
"656","No","More than 1000","No","Yes"
"657","No","6-25","No","Yes"
"658","No","More than 1000","No","Yes"
"659","No","1-5","No","Yes"
"660","No","More than 1000","No","Yes"
"661","Yes","1-5","Yes","Yes"
"662","No","More than 1000","No","No"
"663","No","26-100","Yes","Yes"
"664","Yes","1-5","Yes","Yes"
"665","No","More than 1000","No","Yes"
"666","No","26-100","No","Yes"
"667","No","100-500","No","Yes"
"668","No","26-100","No","Yes"
"669","No","6-25","No","Yes"
"670","No","100-500","Yes","Yes"
"671","No","100-500","No","Yes"
"672","No","26-100","No","Yes"
"673","No","26-100","Yes","No"
"674","No","26-100","No","Yes"
"675","No","6-25","No","Yes"
"676","Yes","1-5","No","Yes"
"677","No","1-5","Yes","Yes"
"678","No","26-100","Yes","Yes"
"679","No","More than 1000","No","No"
"680","No","26-100","No","No"
"681","No","More than 1000","Yes","No"
"682","No","6-25","No","Yes"
"683","No","More than 1000","No","Yes"
"684","No","More than 1000","No","Yes"
"685","No","100-500","No","Yes"
"686","No","26-100","Yes","Yes"
"687","No","6-25","Yes","Yes"
"688","No","6-25","No","Yes"
"689","No","1-5","Yes","Yes"
"690","No","26-100","No","Yes"
"691","No","More than 1000","No","Yes"
"692","No","6-25","No","Yes"
"693","No","26-100","No","No"
"694","No","100-500","No","Yes"
"695","No","More than 1000","Yes","No"
"696","No","500-1000","No","Yes"
"697","No","6-25","No","Yes"
"698","No","100-500","No","No"
"699","Yes","1-5","Yes","Yes"
"700","No","100-500","No","Yes"
"701","No","26-100","No","No"
"702","No","26-100","No","No"
"703","No","100-500","No","Yes"
"704","No","26-100","No","Yes"
"705","Yes","1-5","Yes","Yes"
"706","No","26-100","Yes","Yes"
"707","No","26-100","No","Yes"
"708","No","6-25","No","Yes"
"709","No","6-25","No","Yes"
"710","No","100-500","No","Yes"
"711","No","6-25","No","Yes"
"712","Yes","1-5","Yes","Yes"
"713","No","500-1000","No","Yes"
"714","Yes","6-25","Yes","Yes"
"715","No","6-25","No","Yes"
"716","No","26-100","No","Yes"
"717","No","6-25","No","Yes"
"718","No","More than 1000","No","No"
"719","No","1-5","Yes","Yes"
"720","No","6-25","Yes","Yes"
"721","No","1-5","No","No"
"722","No","100-500","Yes","Yes"
"723","No","6-25","Yes","Yes"
"724","No","26-100","No","Yes"
"725","No","More than 1000","No","No"
"726","Yes","1-5","Yes","Yes"
"727","No","6-25","No","Yes"
"728","No","26-100","No","Yes"
"729","No","6-25","Yes","Yes"
"730","No","26-100","No","No"
"731","Yes","100-500","No","No"
"732","No","More than 1000","No","No"
"733","No","26-100","No","Yes"
"734","No","6-25","No","Yes"
"735","No","More than 1000","Yes","No"
"736","No","26-100","No","Yes"
"737","No","6-25","No","Yes"
"738","No","100-500","No","Yes"
"739","No","26-100","No","Yes"
"740","No","100-500","Yes","Yes"
"741","Yes","26-100","Yes","Yes"
"742","No","6-25","No","Yes"
"743","No","6-25","No","Yes"
"744","No","6-25","No","Yes"
"745","No","26-100","No","Yes"
"746","No","26-100","No","Yes"
"747","No","More than 1000","Yes","Yes"
"748","No","100-500","No","Yes"
"749","Yes","6-25","No","Yes"
"750","No","More than 1000","No","Yes"
"751","No","26-100","Yes","No"
"752","No","26-100","No","No"
"753","No","More than 1000","No","Yes"
"754","No","26-100","No","Yes"
"755","No","More than 1000","No","No"
"756","Yes","1-5","Yes","Yes"
"757","No","26-100","No","No"
"758","No","1-5","No","Yes"
"759","No","1-5","No","Yes"
"760","No","100-500","No","Yes"
"761","Yes","6-25","No","Yes"
"762","Yes","1-5","No","Yes"
"763","No","26-100","No","Yes"
"764","No","6-25","Yes","Yes"
"765","No","26-100","No","Yes"
"766","No","500-1000","No","No"
"767","Yes","1-5","Yes","Yes"
"768","No","More than 1000","No","No"
"769","No","More than 1000","No","No"
"770","No","6-25","No","Yes"
"771","No","100-500","No","No"
"772","No","6-25","Yes","Yes"
"773","No","More than 1000","No","No"
"774","No","More than 1000","No","Yes"
"775","No","6-25","No","Yes"
"776","No","26-100","No","Yes"
"777","No","6-25","Yes","Yes"
"778","No","More than 1000","No","Yes"
"779","Yes","1-5","No","Yes"
"780","No","6-25","No","Yes"
"781","No","More than 1000","No","No"
"782","Yes","1-5","No","Yes"
"783","No","26-100","No","Yes"
"784","No","100-500","Yes","No"
"785","No","More than 1000","No","Yes"
"786","No","100-500","No","Yes"
"787","No","More than 1000","No","Yes"
"788","No","6-25","Yes","Yes"
"789","No","100-500","No","No"
"790","No","More than 1000","No","Yes"
"791","No","26-100","No","Yes"
"792","No","100-500","No","Yes"
"793","No","26-100","No","Yes"
"794","No","26-100","No","Yes"
"795","No","100-500","Yes","Yes"
"796","No","100-500","No","No"
"797","No","6-25","No","Yes"
"798","No","26-100","Yes","Yes"
"799","No","More than 1000","No","Yes"
"800","No","26-100","No","Yes"
"801","No","26-100","No","Yes"
"802","No","100-500","No","No"
"803","No","6-25","No","Yes"
"804","No","26-100","Yes","Yes"
"805","No","More than 1000","No","Yes"
"806","No","6-25","No","Yes"
"807","No","100-500","No","Yes"
"808","No","1-5","No","No"
"809","No","6-25","Yes","Yes"
"810","Yes","1-5","Yes","Yes"
"811","No","26-100","No","Yes"
"812","No","500-1000","No","Yes"
"813","Yes","1-5","Yes","Yes"
"814","Yes","6-25","Yes","Yes"
"815","Yes","1-5","No","Yes"
"816","No","100-500","No","No"
"817","Yes","1-5","No","Yes"
"818","No","More than 1000","Yes","Yes"
"819","No","More than 1000","Yes","Yes"
"820","No","More than 1000","No","Yes"
"821","No","26-100","No","Yes"
"822","No","26-100","No","Yes"
"823","Yes","1-5","Yes","Yes"
"824","No","6-25","No","Yes"
"825","No","1-5","No","No"
"826","No","More than 1000","Yes","No"
"827","No","100-500","No","Yes"
"828","No","6-25","No","Yes"
"829","No","100-500","No","Yes"
"830","No","1-5","No","Yes"
"831","No","500-1000","No","No"
"832","No","6-25","No","Yes"
"833","No","100-500","Yes","Yes"
"834","No","More than 1000","No","No"
"835","No","More than 1000","No","Yes"
"836","No","More than 1000","No","No"
"837","Yes","6-25","Yes","Yes"
"838","No","100-500","No","Yes"
"839","No","More than 1000","No","Yes"
"840","No","26-100","No","No"
"841","No","26-100","No","Yes"
"842","No","100-500","No","Yes"
"843","Yes","1-5","No","Yes"
"844","Yes","1-5","Yes","Yes"
"845","No","More than 1000","No","Yes"
"846","No","1-5","Yes","Yes"
"847","No","26-100","Yes","Yes"
"848","No","6-25","No","No"
"849","No","6-25","Yes","Yes"
"850","No","6-25","No","Yes"
"851","No","More than 1000","No","Yes"
"852","No","More than 1000","Yes","Yes"
"853","No","6-25","No","Yes"
"854","No","100-500","No","Yes"
"855","No","6-25","No","No"
"856","No","6-25","No","No"
"857","Yes","1-5","Yes","Yes"
"858","No","100-500","No","No"
"859","No","6-25","Yes","Yes"
"860","No","More than 1000","No","No"
"861","No","6-25","Yes","Yes"
"862","No","6-25","No","Yes"
"863","No","1-5","Yes","Yes"
"864","Yes","1-5","Yes","Yes"
"865","Yes","More than 1000","Yes","Yes"
"866","No","More than 1000","Yes","Yes"
"867","No","100-500","No","Yes"
"868","No","26-100","No","No"
"869","No","More than 1000","Yes","Yes"
"870","No","500-1000","No","No"
"871","Yes","6-25","Yes","Yes"
"872","No","26-100","No","Yes"
"873","No","More than 1000","No","No"
"874","No","More than 1000","No","No"
"875","No","26-100","No","Yes"
"876","No","26-100","No","Yes"
"877","No","26-100","Yes","Yes"
"878","No","500-1000","Yes","Yes"
"879","Yes","1-5","No","Yes"
"880","No","26-100","Yes","Yes"
"881","No","500-1000","Yes","No"
"882","No","6-25","No","Yes"
"883","No","500-1000","No","No"
"884","Yes","100-500","No","Yes"
"885","No","More than 1000","No","Yes"
"886","Yes","6-25","Yes","No"
"887","Yes","1-5","Yes","Yes"
"888","No","100-500","No","Yes"
"889","No","100-500","No","Yes"
"890","No","500-1000","Yes","Yes"
"891","No","100-500","No","No"
"892","No","More than 1000","No","Yes"
"893","Yes","1-5","Yes","Yes"
"894","Yes","1-5","Yes","Yes"
"895","No","26-100","Yes","Yes"
"896","No","26-100","No","No"
"897","No","26-100","No","Yes"
"898","Yes","1-5","No","Yes"
"899","Yes","1-5","Yes","Yes"
"900","Yes","1-5","No","Yes"
"901","No","More than 1000","No","Yes"
"902","No","More than 1000","Yes","Yes"
"903","No","More than 1000","No","Yes"
"904","No","500-1000","Yes","Yes"
"905","No","More than 1000","No","Yes"
"906","No","6-25","No","Yes"
"907","No","6-25","Yes","Yes"
"908","No","6-25","Yes","Yes"
"909","No","26-100","No","Yes"
"910","No","6-25","No","Yes"
"911","No","26-100","No","Yes"
"912","Yes","1-5","Yes","Yes"
"913","Yes","1-5","Yes","Yes"
"914","No","More than 1000","Yes","Yes"
"915","No","More than 1000","No","Yes"
"916","No","6-25","No","Yes"
"917","No","26-100","No","No"
"918","No","26-100","No","No"
"919","No","More than 1000","No","No"
"920","No","500-1000","No","Yes"
"921","No","More than 1000","No","Yes"
"922","No","500-1000","No","No"
"923","No","26-100","No","Yes"
"924","No","100-500","Yes","Yes"
"925","No","100-500","No","Yes"
"926","No","6-25","No","No"
"927","No","1-5","No","Yes"
"928","No","100-500","Yes","Yes"
"929","No","100-500","No","Yes"
"930","No","More than 1000","No","Yes"
"931","Yes","1-5","Yes","No"
"932","No","6-25","No","Yes"
"933","No","6-25","No","Yes"
"934","No","More than 1000","No","Yes"
"935","No","6-25","Yes","Yes"
"936","No","More than 1000","No","Yes"
"937","No","More than 1000","Yes","Yes"
"938","No","500-1000","No","Yes"
"939","No","100-500","No","Yes"
"940","No","More than 1000","No","Yes"
"941","No","26-100","No","Yes"
"942","No","More than 1000","No","No"
"943","No","More than 1000","No","Yes"
"944","No","More than 1000","No","Yes"
"945","No","6-25","No","Yes"
"946","No","26-100","No","Yes"
"947","No","26-100","No","No"
"948","Yes","1-5","Yes","Yes"
"949","No","6-25","No","Yes"
"950","No","6-25","No","Yes"
"951","No","26-100","No","Yes"
"952","No","More than 1000","No","No"
"953","Yes","1-5","Yes","Yes"
"954","No","More than 1000","No","Yes"
"955","No","More than 1000","No","Yes"
"956","No","6-25","No","Yes"
"957","Yes","6-25","Yes","Yes"
"958","Yes","26-100","Yes","No"
"959","Yes","1-5","Yes","Yes"
"960","No","More than 1000","No","No"
"961","Yes","1-5","Yes","Yes"
"962","Yes","1-5","Yes","Yes"
"963","No","6-25","Yes","Yes"
"964","No","100-500","No","No"
"965","Yes","1-5","Yes","Yes"
"966","No","More than 1000","Yes","Yes"
"967","Yes","6-25","No","Yes"
"968","No","6-25","No","Yes"
"969","No","More than 1000","No","Yes"
"970","No","6-25","No","Yes"
"971","No","500-1000","No","Yes"
"972","No","More than 1000","No","Yes"
"973","No","500-1000","No","No"
"974","No","6-25","No","Yes"
"975","No","26-100","No","Yes"
"976","No","1-5","Yes","Yes"
"977","Yes","1-5","Yes","Yes"
"978","No","26-100","Yes","No"
"979","No","100-500","No","Yes"
"980","No","26-100","No","Yes"
"981","No","6-25","Yes","Yes"
"982","No","500-1000","Yes","Yes"
"983","No","6-25","No","Yes"
"984","No","26-100","No","Yes"
"985","No","1-5","Yes","Yes"
"986","No","6-25","No","Yes"
"987","No","26-100","No","Yes"
"988","Yes","1-5","Yes","Yes"
"989","No","26-100","No","Yes"
"990","Yes","1-5","No","Yes"
"991","No","100-500","Yes","Yes"
"992","No","More than 1000","No","No"
"993","No","500-1000","No","Yes"
"994","No","6-25","No","Yes"
"995","No","6-25","Yes","Yes"
"996","No","6-25","Yes","Yes"
"997","No","100-500","No","Yes"
"998","No","26-100","Yes","Yes"
"999","No","1-5","No","Yes"
"1000","No","500-1000","No","Yes"
"1001","No","100-500","Yes","No"
"1002","No","100-500","No","Yes"
"1003","No","6-25","Yes","Yes"
"1004","No","100-500","No","Yes"
"1005","No","More than 1000","No","No"
"1006","Yes","1-5","Yes","Yes"
"1007","No","More than 1000","No","No"
"1008","No","26-100","Yes","Yes"
"1009","No","More than 1000","No","Yes"
"1010","No","100-500","No","Yes"
"1011","No","6-25","No","Yes"
"1012","No","More than 1000","No","No"
"1013","No","26-100","Yes","Yes"
"1014","No","26-100","Yes","Yes"
"1015","No","26-100","Yes","Yes"
"1016","No","500-1000","No","No"
"1017","No","6-25","No","Yes"
"1018","No","6-25","No","Yes"
"1019","No","26-100","Yes","Yes"
"1020","No","6-25","Yes","Yes"
"1021","No","More than 1000","No","Yes"
"1022","No","1-5","No","Yes"
"1023","No","100-500","Yes","Yes"
"1024","No","More than 1000","No","No"
"1025","No","6-25","No","Yes"
"1026","No","6-25","No","Yes"
"1027","No","More than 1000","Yes","No"
"1028","No","26-100","No","Yes"
"1029","No","100-500","No","No"
"1030","No","6-25","Yes","Yes"
"1031","No","26-100","Yes","Yes"
"1032","No","More than 1000","Yes","No"
"1033","No","1-5","No","Yes"
"1034","No","6-25","Yes","Yes"
"1035","No","26-100","Yes","Yes"
"1036","No","6-25","Yes","Yes"
"1037","No","More than 1000","Yes","Yes"
"1038","No","6-25","No","Yes"
"1039","No","More than 1000","No","No"
"1040","No","100-500","No","Yes"
"1041","No","6-25","No","Yes"
"1042","No","100-500","No","Yes"
"1043","Yes","1-5","Yes","No"
"1044","Yes","1-5","Yes","Yes"
"1045","No","More than 1000","No","Yes"
"1046","No","26-100","No","No"
"1047","No","More than 1000","No","Yes"
"1048","No","1-5","Yes","Yes"
"1049","No","More than 1000","No","No"
"1050","No","500-1000","No","Yes"
"1051","No","6-25","No","Yes"
"1052","Yes","6-25","Yes","Yes"
"1053","No","More than 1000","No","Yes"
"1054","No","6-25","No","Yes"
"1055","No","More than 1000","Yes","No"
"1056","No","100-500","No","Yes"
"1057","Yes","1-5","Yes","Yes"
"1058","No","6-25","Yes","Yes"
"1059","No","6-25","No","Yes"
"1060","No","6-25","No","No"
"1061","No","6-25","Yes","Yes"
"1062","No","More than 1000","No","No"
"1063","No","26-100","No","No"
"1064","No","26-100","Yes","Yes"
"1065","No","6-25","Yes","Yes"
"1066","No","More than 1000","Yes","Yes"
"1067","No","More than 1000","No","Yes"
"1068","No","More than 1000","No","No"
"1069","No","100-500","No","Yes"
"1070","No","More than 1000","No","Yes"
"1071","Yes","1-5","Yes","Yes"
"1072","No","More than 1000","No","Yes"
"1073","No","26-100","Yes","Yes"
"1074","Yes","1-5","No","Yes"
"1075","No","1-5","No","Yes"
"1076","No","1-5","No","Yes"
"1077","No","More than 1000","No","No"
"1078","No","26-100","No","No"
"1079","No","1-5","No","No"
"1080","No","6-25","No","Yes"
"1081","No","More than 1000","No","Yes"
"1082","No","More than 1000","No","No"
"1083","No","26-100","No","Yes"
"1084","No","100-500","No","Yes"
"1085","No","100-500","No","No"
"1086","No","100-500","No","Yes"
"1087","No","More than 1000","No","Yes"
"1088","No","100-500","No","Yes"
"1089","Yes","1-5","No","No"
"1090","No","6-25","Yes","Yes"
"1091","No","More than 1000","No","Yes"
"1092","No","More than 1000","No","No"
"1093","No","500-1000","No","Yes"
"1094","No","6-25","Yes","Yes"
"1095","No","100-500","No","Yes"
"1096","Yes","1-5","Yes","Yes"
"1097","No","6-25","Yes","Yes"
"1098","No","6-25","Yes","Yes"
"1099","No","6-25","Yes","Yes"
"1100","Yes","26-100","Yes","Yes"
"1101","No","26-100","No","Yes"
"1102","No","More than 1000","No","Yes"
"1103","No","6-25","No","Yes"
"1104","No","6-25","Yes","Yes"
"1105","No","6-25","No","Yes"
"1106","No","6-25","Yes","Yes"
"1107","No","1-5","Yes","Yes"
"1108","No","More than 1000","No","No"
"1109","No","26-100","No","Yes"
"1110","No","100-500","No","Yes"
"1111","No","6-25","No","Yes"
"1112","No","More than 1000","No","No"
"1113","No","1-5","Yes","Yes"
"1114","Yes","1-5","No","Yes"
"1115","No","More than 1000","No","No"
"1116","No","100-500","No","Yes"
"1117","No","26-100","No","No"
"1118","No","6-25","No","Yes"
"1119","Yes","1-5","No","Yes"
"1120","No","26-100","Yes","Yes"
"1121","No","6-25","No","Yes"
"1122","No","More than 1000","No","No"
"1123","No","26-100","No","No"
"1124","No","26-100","No","Yes"
"1125","No","More than 1000","Yes","Yes"
"1126","No","26-100","No","Yes"
"1127","No","26-100","No","Yes"
"1128","No","More than 1000","No","No"
"1129","No","26-100","Yes","Yes"
"1130","No","6-25","No","Yes"
"1131","No","6-25","No","Yes"
"1132","No","More than 1000","No","No"
"1133","No","26-100","No","Yes"
"1134","No","More than 1000","No","Yes"
"1135","No","More than 1000","No","No"
"1136","No","More than 1000","No","No"
"1137","No","More than 1000","No","No"
"1138","No","26-100","Yes","Yes"
"1139","No","1-5","No","Yes"
"1140","No","More than 1000","No","No"
"1141","No","More than 1000","No","No"
"1142","No","6-25","No","Yes"
"1143","No","More than 1000","No","Yes"
"1144","No","6-25","No","Yes"
"1145","No","100-500","No","Yes"
"1146","No","26-100","No","No"
"1147","No","26-100","No","No"
"1148","Yes","6-25","Yes","Yes"
"1149","Yes","1-5","Yes","Yes"
"1150","No","6-25","No","Yes"
"1151","No","6-25","No","Yes"
"1152","No","More than 1000","Yes","Yes"
"1153","No","26-100","No","Yes"
"1154","No","100-500","No","Yes"
"1155","No","26-100","No","Yes"
"1156","No","6-25","Yes","Yes"
"1157","No","100-500","Yes","No"
"1158","No","More than 1000","No","Yes"
"1159","No","26-100","No","No"
"1160","No","More than 1000","Yes","Yes"
"1161","No","6-25","No","Yes"
"1162","No","More than 1000","No","Yes"
"1163","No","More than 1000","No","Yes"
"1164","No","More than 1000","No","No"
"1165","No","26-100","No","Yes"
"1166","No","1-5","No","Yes"
"1167","No","26-100","No","No"
"1168","No","6-25","No","Yes"
"1169","No","100-500","No","Yes"
"1170","No","26-100","No","Yes"
"1171","Yes","1-5","Yes","Yes"
"1172","No","26-100","Yes","Yes"
"1173","No","26-100","No","Yes"
"1174","No","More than 1000","No","No"
"1175","No","500-1000","Yes","No"
"1176","No","1-5","Yes","Yes"
"1177","No","6-25","No","Yes"
"1178","No","100-500","No","No"
"1179","Yes","1-5","Yes","Yes"
"1180","No","26-100","Yes","Yes"
"1181","No","26-100","No","Yes"
"1182","No","6-25","No","Yes"
"1183","No","100-500","No","Yes"
"1184","No","More than 1000","No","Yes"
"1185","No","26-100","Yes","Yes"
"1186","No","26-100","No","Yes"
"1187","No","26-100","No","Yes"
"1188","No","500-1000","No","No"
"1189","No","1-5","No","Yes"
"1190","No","6-25","No","Yes"
"1191","No","26-100","Yes","Yes"
"1192","No","100-500","No","Yes"
"1193","No","100-500","Yes","Yes"
"1194","No","6-25","No","Yes"
"1195","Yes","1-5","No","Yes"
"1196","No","100-500","No","Yes"
"1197","No","1-5","Yes","Yes"
"1198","No","6-25","No","Yes"
"1199","No","26-100","Yes","No"
"1200","No","1-5","No","Yes"
"1201","No","100-500","No","Yes"
"1202","No","26-100","No","Yes"
"1203","No","1-5","No","Yes"
"1204","No","More than 1000","Yes","Yes"
"1205","No","More than 1000","No","No"
"1206","No","More than 1000","No","Yes"
"1207","No","26-100","Yes","Yes"
"1208","No","6-25","No","Yes"
"1209","No","More than 1000","Yes","No"
"1210","No","26-100","No","Yes"
"1211","No","6-25","No","Yes"
"1212","No","More than 1000","Yes","Yes"
"1213","No","26-100","No","Yes"
"1214","No","100-500","Yes","Yes"
"1215","Yes","1-5","Yes","Yes"
"1216","No","26-100","No","Yes"
"1217","No","More than 1000","No","Yes"
"1218","No","26-100","No","Yes"
"1219","No","More than 1000","No","No"
"1220","No","More than 1000","No","Yes"
"1221","No","26-100","No","Yes"
"1222","No","6-25","Yes","Yes"
"1223","No","6-25","No","Yes"
"1224","Yes","6-25","Yes","Yes"
"1225","No","More than 1000","No","No"
"1226","No","6-25","No","Yes"
"1227","No","6-25","No","No"
"1228","No","26-100","No","Yes"
"1229","No","More than 1000","Yes","Yes"
"1230","No","26-100","No","Yes"
"1231","No","More than 1000","No","No"
"1232","No","500-1000","No","Yes"
"1233","No","100-500","No","Yes"
"1234","Yes","6-25","Yes","Yes"
"1235","No","26-100","No","Yes"
"1236","No","More than 1000","Yes","Yes"
"1237","No","More than 1000","No","No"
"1238","No","100-500","No","No"
"1239","No","100-500","No","Yes"
"1240","No","6-25","No","Yes"
"1241","No","26-100","No","Yes"
"1242","No","26-100","No","Yes"
"1243","Yes","26-100","No","Yes"
"1244","No","100-500","No","No"
"1245","No","100-500","Yes","Yes"
"1246","No","More than 1000","No","No"
"1247","No","26-100","No","Yes"
"1248","No","26-100","Yes","Yes"
"1249","No","More than 1000","No","Yes"
"1250","No","100-500","Yes","Yes"
"1251","No","26-100","No","No"
