"","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"1","No","No","Some of them","Yes","No","Maybe","Yes","No"
"2","Maybe","No","No","No","No","No","Don't know","No"
"3","No","No","Yes","Yes","Yes","Yes","No","No"
"4","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"5","No","No","Some of them","Yes","Yes","Yes","Don't know","No"
"6","No","No","Yes","Yes","No","Maybe","Don't know","No"
"7","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"8","No","No","No","No","No","No","No","No"
"9","Maybe","No","Yes","Yes","No","Maybe","No","No"
"10","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"11","No","No","Some of them","Yes","No","No","Don't know","No"
"12","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"13","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes"
"14","No","No","Yes","Yes","No","No","Don't know","No"
"15","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"16","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No"
"17","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
"18","Maybe","No","Some of them","Yes","No","No","No","No"
"19","No","No","Yes","Yes","No","Yes","Yes","Yes"
"20","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"21","Maybe","No","Some of them","Some of them","No","No","No","No"
"22","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"23","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"24","Maybe","No","No","No","No","Yes","Don't know","No"
"25","No","No","Yes","Yes","No","Yes","Don't know","No"
"26","Yes","No","Some of them","Yes","No","Yes","No","No"
"27","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"28","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"29","No","No","Some of them","No","No","No","No","No"
"30","Yes","Maybe","Some of them","No","No","Maybe","No","No"
"31","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"32","Yes","No","No","No","No","No","No","Yes"
"33","Maybe","No","Some of them","Yes","No","Yes","Don't know","No"
"34","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No"
"35","Maybe","No","Some of them","No","No","Maybe","Yes","No"
"36","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"37","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"38","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"39","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"40","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"41","Maybe","Maybe","Some of them","No","No","Yes","No","Yes"
"42","Yes","Yes","Some of them","No","No","Maybe","Don't know","No"
"43","Maybe","No","Some of them","No","No","No","Yes","No"
"44","Yes","Maybe","No","Some of them","No","No","No","No"
"45","No","No","No","No","No","Maybe","Don't know","No"
"46","No","No","Some of them","Yes","No","No","Yes","No"
"47","No","Maybe","Some of them","Yes","Maybe","Yes","Don't know","No"
"48","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"49","No","No","Yes","Yes","No","No","Yes","No"
"50","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"51","Maybe","No","No","No","No","Maybe","Don't know","No"
"52","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"53","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"54","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"55","No","No","No","No","No","Maybe","Don't know","No"
"56","Maybe","No","No","No","No","No","Don't know","No"
"57","No","No","Yes","Yes","No","No","Yes","No"
"58","No","Maybe","Some of them","Yes","Yes","Yes","No","No"
"59","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"60","Yes","No","No","No","No","Maybe","Don't know","No"
"61","Yes","Maybe","Some of them","No","No","Maybe","Don't know","Yes"
"62","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"63","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"64","Yes","No","No","No","No","No","No","Yes"
"65","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"66","Yes","Maybe","Some of them","No","No","No","No","Yes"
"67","No","No","Some of them","Yes","No","Maybe","Yes","No"
"68","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"69","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"70","Maybe","No","Some of them","No","No","No","Don't know","No"
"71","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"72","No","No","Some of them","Yes","No","No","Don't know","No"
"73","Maybe","No","Yes","Yes","No","No","No","No"
"74","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"75","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"76","Yes","No","No","No","No","Maybe","No","No"
"77","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"78","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"79","Yes","No","Some of them","No","No","Yes","No","No"
"80","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"81","No","No","Yes","Some of them","Maybe","Maybe","Yes","No"
"82","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"83","No","No","Some of them","Yes","No","No","No","No"
"84","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"85","Yes","No","No","No","No","Maybe","No","No"
"86","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"87","Maybe","No","Some of them","No","No","Maybe","No","Yes"
"88","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"89","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
"90","No","No","Some of them","Some of them","No","No","Don't know","No"
"91","No","No","Some of them","Yes","No","No","Yes","No"
"92","No","No","Yes","Yes","Yes","Yes","No","No"
"93","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"94","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"95","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"96","No","No","Yes","Yes","Maybe","Maybe","No","No"
"97","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"98","No","No","Some of them","Yes","Maybe","Yes","No","No"
"99","Maybe","No","Some of them","No","No","Maybe","No","No"
"100","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"101","Yes","No","No","No","No","Maybe","No","Yes"
"102","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"103","No","No","Some of them","Yes","No","No","Don't know","No"
"104","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"105","No","No","Some of them","Yes","No","No","Don't know","No"
"106","No","No","Some of them","Yes","No","No","Don't know","No"
"107","No","No","Some of them","Yes","No","Maybe","No","No"
"108","Maybe","No","Yes","Yes","No","No","Don't know","Yes"
"109","Maybe","No","No","No","No","No","Don't know","No"
"110","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"111","Yes","No","No","No","No","Yes","No","No"
"112","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"113","No","No","Yes","Yes","Yes","Yes","Yes","No"
"114","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"115","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"116","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"117","Yes","No","Some of them","Yes","No","Maybe","No","No"
"118","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"119","No","No","Some of them","No","No","No","Don't know","No"
"120","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"121","Yes","Yes","No","No","No","No","Don't know","No"
"122","No","No","Some of them","Yes","No","No","Don't know","No"
"123","No","No","Yes","Yes","No","Maybe","Yes","No"
"124","Maybe","No","No","No","No","No","Don't know","No"
"125","Maybe","No","Some of them","Yes","No","Maybe","No","Yes"
"126","Yes","No","Some of them","No","No","Yes","Don't know","No"
"127","No","No","Some of them","Some of them","No","No","Don't know","No"
"128","Yes","No","No","Yes","No","No","Don't know","No"
"129","Maybe","Maybe","No","No","No","No","Yes","No"
"130","Yes","Yes","Some of them","No","No","No","Don't know","No"
"131","Maybe","No","Yes","Some of them","No","Yes","No","No"
"132","Maybe","No","Yes","Some of them","No","Yes","Don't know","No"
"133","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"134","No","No","Yes","Yes","Maybe","Yes","No","No"
"135","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"136","Yes","Maybe","No","No","No","No","Don't know","No"
"137","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"138","No","No","Yes","Yes","No","No","Don't know","No"
"139","Maybe","No","Some of them","No","No","No","Don't know","No"
"140","No","No","Some of them","Some of them","No","No","Don't know","No"
"141","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"142","Yes","Yes","Some of them","No","No","Maybe","Yes","No"
"143","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"144","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"145","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No"
"146","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"147","Yes","Yes","No","No","No","No","No","No"
"148","Yes","No","Some of them","No","No","No","No","Yes"
"149","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"150","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"151","No","No","Some of them","Some of them","No","Maybe","No","No"
"152","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"153","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"154","Yes","Maybe","Some of them","No","No","Yes","No","Yes"
"155","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"156","No","No","No","Some of them","No","Maybe","Don't know","No"
"157","Yes","Maybe","Some of them","Yes","No","Maybe","No","No"
"158","Maybe","No","Some of them","Yes","No","No","Don't know","Yes"
"159","Maybe","No","Some of them","No","No","No","Don't know","Yes"
"160","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","Yes"
"161","Yes","Yes","Some of them","Some of them","No","No","Don't know","No"
"162","No","No","Some of them","Some of them","No","No","Don't know","No"
"163","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"164","No","No","Some of them","Yes","No","Yes","Yes","No"
"165","No","No","Yes","Yes","No","Maybe","Yes","No"
"166","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"167","Maybe","No","Yes","Yes","No","Maybe","No","No"
"168","Yes","No","No","No","No","Maybe","No","No"
"169","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"170","No","No","Yes","Yes","No","No","Don't know","No"
"171","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"172","Yes","Maybe","No","No","Maybe","Maybe","No","No"
"173","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"174","No","No","Some of them","Yes","No","No","No","No"
"175","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"176","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"177","No","No","Yes","Yes","No","No","Yes","Yes"
"178","No","No","Yes","Yes","No","No","Yes","No"
"179","No","No","Yes","Yes","No","Maybe","Don't know","No"
"180","Maybe","Maybe","No","Yes","Maybe","Yes","No","No"
"181","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"182","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"183","Yes","Yes","Some of them","Some of them","No","No","Don't know","No"
"184","Yes","Maybe","No","No","No","No","No","No"
"185","Yes","No","Some of them","No","Maybe","Yes","No","No"
"186","Maybe","No","Some of them","Yes","Maybe","Yes","Yes","No"
"187","No","No","Some of them","No","No","Maybe","Yes","No"
"188","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"189","Maybe","No","No","No","No","No","Don't know","No"
"190","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","Yes"
"191","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"192","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"193","No","No","Some of them","Yes","No","No","Don't know","No"
"194","Yes","Yes","Some of them","No","No","No","No","Yes"
"195","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"196","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"197","No","No","Some of them","Yes","No","Maybe","No","No"
"198","Maybe","Maybe","Some of them","Some of them","No","Maybe","Yes","No"
"199","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"200","No","No","Some of them","Some of them","No","No","Yes","No"
"201","Maybe","No","Some of them","Yes","No","No","Yes","No"
"202","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"203","Yes","No","No","No","No","Yes","Don't know","No"
"204","No","No","Yes","Yes","No","No","Yes","No"
"205","Yes","Maybe","No","No","No","No","No","Yes"
"206","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"207","Maybe","No","Yes","Yes","No","Maybe","Don't know","No"
"208","No","No","Some of them","Yes","No","No","Don't know","No"
"209","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"210","No","No","Some of them","Yes","No","No","Yes","No"
"211","Yes","Maybe","Some of them","Yes","No","Maybe","Don't know","No"
"212","Yes","No","No","No","No","Maybe","Don't know","No"
"213","Yes","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"214","No","No","Yes","Yes","No","Yes","Yes","No"
"215","No","No","Some of them","No","No","No","Don't know","No"
"216","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"217","No","No","Some of them","Some of them","No","No","Yes","No"
"218","Maybe","No","Some of them","No","No","No","Don't know","No"
"219","Yes","No","No","Some of them","No","No","Don't know","No"
"220","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"221","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"222","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"223","Yes","No","No","Some of them","No","No","No","No"
"224","No","No","No","Yes","No","Yes","Yes","No"
"225","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"226","No","No","Some of them","Yes","No","Maybe","Yes","No"
"227","Yes","Yes","No","No","No","Maybe","Yes","No"
"228","Maybe","No","Some of them","No","Maybe","Maybe","Yes","No"
"229","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"230","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"231","Maybe","Maybe","Some of them","No","Maybe","Maybe","No","No"
"232","Yes","No","No","No","No","Maybe","No","No"
"233","Maybe","Maybe","Some of them","Yes","No","Maybe","No","No"
"234","No","No","Some of them","Some of them","No","No","Yes","No"
"235","Yes","Maybe","No","No","No","Maybe","No","No"
"236","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"237","No","No","Some of them","Yes","No","Yes","No","Yes"
"238","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"239","No","No","Some of them","Yes","No","No","No","Yes"
"240","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"241","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
"242","No","No","Some of them","Yes","No","No","Don't know","No"
"243","Maybe","No","Some of them","Yes","No","Yes","No","No"
"244","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"245","Yes","Maybe","No","No","No","Maybe","No","Yes"
"246","Maybe","No","No","No","No","Maybe","Don't know","No"
"247","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"248","Maybe","No","Yes","Yes","No","Yes","Don't know","No"
"249","Maybe","No","Some of them","No","Maybe","Yes","Don't know","No"
"250","Maybe","No","Some of them","Some of them","No","Yes","Yes","No"
"251","No","No","Some of them","Yes","No","Maybe","Yes","Yes"
"252","No","No","Some of them","Yes","No","Maybe","Yes","No"
"253","Maybe","Maybe","Yes","Yes","No","No","Don't know","No"
"254","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"255","Yes","No","No","No","No","Maybe","Don't know","No"
"256","Maybe","Maybe","Some of them","Some of them","No","Maybe","Yes","No"
"257","No","No","Some of them","Yes","No","No","Yes","No"
"258","Yes","No","Some of them","Some of them","No","Yes","No","No"
"259","Yes","Maybe","No","No","No","Yes","No","Yes"
"260","Maybe","Maybe","Yes","No","No","Maybe","Don't know","No"
"261","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"262","No","No","Yes","Yes","Maybe","No","Yes","No"
"263","Maybe","No","Some of them","Some of them","No","Yes","No","No"
"264","Maybe","No","Yes","Yes","Yes","Yes","Don't know","No"
"265","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"266","No","No","Yes","Yes","Yes","Yes","Yes","No"
"267","Maybe","Maybe","Yes","Some of them","Maybe","Maybe","Don't know","Yes"
"268","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"269","No","No","Yes","Yes","No","No","Don't know","No"
"270","No","No","Some of them","Some of them","No","Maybe","No","No"
"271","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"272","No","No","Some of them","Yes","No","No","Yes","No"
"273","Maybe","Maybe","Yes","Some of them","No","No","Don't know","No"
"274","Yes","No","No","No","No","Maybe","No","No"
"275","No","No","Some of them","Yes","No","No","Don't know","No"
"276","Maybe","No","Some of them","No","No","No","Don't know","No"
"277","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"278","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"279","Maybe","No","Some of them","No","No","Maybe","No","No"
"280","Maybe","No","Some of them","Yes","No","Yes","No","Yes"
"281","Yes","No","No","No","No","Maybe","Don't know","No"
"282","Yes","No","No","No","No","Maybe","Don't know","No"
"283","Yes","No","No","Some of them","No","Maybe","Don't know","No"
"284","No","No","Some of them","Some of them","No","Yes","No","No"
"285","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","No"
"286","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"287","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"288","No","Maybe","Some of them","No","No","No","Don't know","Yes"
"289","Maybe","No","Some of them","No","No","No","Don't know","No"
"290","No","No","Yes","Yes","No","No","Yes","No"
"291","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"292","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"293","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"294","No","Maybe","Yes","Some of them","No","Maybe","Don't know","No"
"295","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"296","No","No","Yes","Yes","No","Yes","Yes","No"
"297","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"298","Yes","No","No","No","No","Maybe","Don't know","No"
"299","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"300","No","No","Some of them","Some of them","No","No","Yes","No"
"301","No","No","Yes","Yes","No","No","Yes","No"
"302","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"303","Yes","No","Some of them","Yes","No","No","Yes","No"
"304","No","No","Some of them","Yes","No","No","Yes","No"
"305","Maybe","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"306","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"307","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"308","No","No","Some of them","Yes","No","No","Don't know","No"
"309","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"310","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"311","No","No","Some of them","Yes","No","No","Don't know","No"
"312","Maybe","No","Some of them","Yes","No","No","Yes","No"
"313","Yes","No","No","No","No","No","No","No"
"314","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"315","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"316","Maybe","No","No","No","No","Maybe","Don't know","No"
"317","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"318","Maybe","No","No","Some of them","No","No","Yes","Yes"
"319","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"320","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"321","Yes","No","Some of them","Some of them","No","Maybe","No","No"
"322","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"323","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"324","Maybe","No","No","No","No","No","Don't know","No"
"325","Maybe","No","No","No","No","Maybe","Don't know","No"
"326","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"327","No","No","Yes","Yes","No","No","Yes","No"
"328","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"329","Yes","Yes","No","No","Maybe","No","Yes","Yes"
"330","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"331","Yes","Maybe","Some of them","No","No","No","No","No"
"332","Maybe","No","No","No","No","Yes","No","No"
"333","No","No","No","No","No","No","Don't know","No"
"334","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","No","No"
"335","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"336","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"337","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"338","Yes","No","No","No","No","Maybe","Don't know","No"
"339","No","No","Some of them","Yes","No","Maybe","Yes","No"
"340","No","No","Yes","Yes","No","No","No","No"
"341","Yes","Maybe","Some of them","Some of them","No","Maybe","No","No"
"342","Yes","No","No","No","No","Maybe","No","No"
"343","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"344","Yes","Maybe","No","No","No","Maybe","No","No"
"345","No","No","Some of them","Yes","No","No","Don't know","No"
"346","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"347","No","No","No","Yes","No","No","Don't know","No"
"348","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"349","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"350","Maybe","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"351","No","No","No","No","No","Yes","Yes","No"
"352","No","No","Some of them","Yes","No","Maybe","Yes","No"
"353","Maybe","No","Some of them","No","No","No","Don't know","No"
"354","No","No","Some of them","Yes","No","No","No","No"
"355","No","No","Some of them","No","No","No","No","No"
"356","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"357","Maybe","Maybe","No","No","No","No","Don't know","No"
"358","Yes","Yes","Some of them","Some of them","No","Maybe","Don't know","No"
"359","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"360","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"361","No","No","Yes","Yes","No","Maybe","Yes","No"
"362","Maybe","No","Some of them","Yes","No","Yes","No","No"
"363","No","No","Some of them","Yes","No","Yes","Yes","No"
"364","Maybe","Maybe","No","No","No","No","No","No"
"365","No","No","Some of them","Yes","No","No","Don't know","No"
"366","No","No","Some of them","Some of them","No","No","Don't know","No"
"367","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"368","Yes","No","Some of them","No","No","Maybe","No","No"
"369","No","No","No","Some of them","No","No","Yes","No"
"370","Maybe","No","Yes","Some of them","No","Maybe","No","Yes"
"371","No","No","Yes","Yes","No","No","Yes","No"
"372","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"373","Yes","No","Some of them","No","No","Yes","Don't know","No"
"374","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"375","Yes","Maybe","No","No","No","No","No","No"
"376","Maybe","No","Some of them","Yes","No","No","Yes","No"
"377","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"378","Maybe","No","No","No","No","No","Don't know","No"
"379","No","No","Some of them","Some of them","No","No","Don't know","No"
"380","No","No","Some of them","Yes","No","Maybe","Yes","No"
"381","No","No","Yes","Yes","No","No","Don't know","No"
"382","No","No","Yes","Yes","No","Yes","No","No"
"383","Yes","Yes","Some of them","No","No","No","No","No"
"384","Maybe","Maybe","No","Yes","No","No","Don't know","No"
"385","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"386","Yes","No","Some of them","No","No","Maybe","No","No"
"387","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"388","Maybe","No","Some of them","No","No","Yes","Don't know","No"
"389","Maybe","Maybe","No","No","No","No","Don't know","No"
"390","Yes","No","Some of them","No","No","No","Don't know","No"
"391","No","No","Yes","Yes","No","No","Yes","No"
"392","Yes","Maybe","No","No","No","Maybe","No","Yes"
"393","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"394","Maybe","Maybe","No","No","No","No","No","No"
"395","Maybe","Maybe","Some of them","Yes","No","Maybe","No","Yes"
"396","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"397","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"398","Maybe","No","Some of them","Yes","No","No","No","No"
"399","Maybe","No","Some of them","No","No","Maybe","No","No"
"400","No","No","Some of them","Yes","No","Maybe","No","No"
"401","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"402","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"403","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"404","Yes","Maybe","Yes","Some of them","No","No","Yes","No"
"405","Yes","No","Some of them","No","No","Maybe","Yes","No"
"406","No","No","Yes","Yes","Maybe","No","Don't know","No"
"407","Yes","Maybe","No","No","No","No","Don't know","No"
"408","Yes","No","No","No","No","No","No","No"
"409","Yes","Maybe","No","No","No","Maybe","No","No"
"410","No","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"411","Yes","Maybe","No","No","No","Yes","Yes","No"
"412","No","No","Some of them","Some of them","No","No","Yes","No"
"413","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"414","No","No","Yes","Yes","Maybe","Maybe","No","No"
"415","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"416","No","No","Yes","Yes","No","Maybe","Don't know","No"
"417","Yes","Maybe","No","No","No","No","No","Yes"
"418","No","No","Yes","Yes","No","No","Yes","No"
"419","No","No","Some of them","No","No","Yes","Don't know","No"
