"","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"838","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"839","Maybe","No","Some of them","No","No","No","Don't know","No"
"840","No","No","Some of them","Some of them","No","No","Don't know","No"
"841","Yes","Yes","Some of them","No","No","No","No","No"
"842","Maybe","No","Some of them","No","No","No","Don't know","No"
"843","No","No","Yes","No","No","No","Yes","No"
"844","No","No","Yes","Yes","No","No","Yes","No"
"845","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"846","Maybe","No","No","No","No","Maybe","Don't know","No"
"847","Maybe","No","No","Some of them","No","No","Don't know","No"
"848","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"849","Yes","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"850","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"851","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"852","No","No","Yes","Yes","No","No","Yes","No"
"853","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"854","Maybe","No","Some of them","Yes","No","No","No","No"
"855","Yes","Maybe","Some of them","No","No","No","No","No"
"856","Yes","Maybe","Some of them","No","No","No","No","No"
"857","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"858","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"859","Yes","No","Some of them","Yes","No","Maybe","No","No"
"860","Yes","Maybe","No","No","No","Maybe","Yes","No"
"861","Yes","Maybe","No","No","No","Yes","No","Yes"
"862","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"863","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","No","No"
"864","No","No","Some of them","Some of them","Maybe","Maybe","No","No"
"865","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"866","No","No","Yes","Yes","Yes","Yes","Yes","No"
"867","Maybe","No","Some of them","Some of them","No","Yes","Don't know","Yes"
"868","Maybe","Maybe","Some of them","Some of them","No","Yes","No","Yes"
"869","No","No","Some of them","Yes","No","No","Don't know","No"
"870","Maybe","No","No","No","No","No","No","No"
"871","Yes","No","No","No","No","Maybe","Don't know","No"
"872","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"873","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"874","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"875","Maybe","No","No","No","No","No","Don't know","No"
"876","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"877","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"878","Maybe","No","Some of them","Yes","No","No","Yes","Yes"
"879","No","No","Some of them","Yes","Yes","Yes","Yes","No"
"880","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"881","Maybe","No","No","No","No","No","Don't know","No"
"882","No","No","Some of them","Yes","No","No","Don't know","No"
"883","No","No","Some of them","Yes","No","Maybe","No","No"
"884","No","No","Some of them","Yes","No","No","Yes","No"
"885","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","Yes"
"886","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"887","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"888","No","No","Some of them","Yes","No","No","Don't know","No"
"889","Yes","Yes","Some of them","No","Maybe","Maybe","No","No"
"890","Maybe","Maybe","Some of them","Some of them","No","Yes","Don't know","No"
"891","No","No","Some of them","Yes","No","No","Don't know","No"
"892","No","No","Some of them","Yes","No","No","Yes","No"
"893","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"894","No","No","Some of them","Yes","No","Maybe","Yes","No"
"895","No","No","Some of them","Yes","No","Maybe","No","No"
"896","Yes","Maybe","No","No","No","Maybe","No","No"
"897","Yes","Yes","Some of them","No","No","No","No","Yes"
"898","Maybe","Maybe","Some of them","Some of them","No","No","Yes","Yes"
"899","No","No","No","No","No","Maybe","Yes","No"
"900","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"901","Yes","Maybe","No","No","No","Maybe","No","Yes"
"902","Yes","Maybe","No","No","No","No","Don't know","No"
"903","Yes","Yes","No","No","No","No","No","No"
"904","Maybe","No","No","No","No","Maybe","Don't know","No"
"905","Maybe","Maybe","Yes","Yes","No","Maybe","Yes","Yes"
"906","Yes","No","Some of them","No","No","Maybe","No","Yes"
"907","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"908","No","No","Yes","Yes","No","No","Don't know","No"
"909","No","No","Yes","Yes","No","No","Don't know","No"
"910","No","No","Some of them","Yes","No","No","Don't know","No"
"911","Yes","Maybe","Some of them","No","No","Maybe","No","No"
"912","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"913","No","No","Some of them","Some of them","No","No","Yes","No"
"914","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"915","Yes","Yes","No","No","No","No","Don't know","No"
"916","No","No","Some of them","Yes","No","Yes","Don't know","No"
"917","Maybe","No","Some of them","Some of them","No","No","No","No"
"918","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"919","Yes","Maybe","Some of them","Some of them","No","Yes","No","Yes"
"920","No","No","Yes","Yes","Yes","Yes","Yes","No"
"921","Yes","Maybe","No","No","No","No","Don't know","No"
"922","Maybe","No","No","Some of them","No","Maybe","No","No"
"923","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"924","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"925","No","No","Some of them","Yes","No","No","Don't know","No"
"926","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"927","No","No","Some of them","Yes","No","Maybe","Yes","No"
"928","Yes","Maybe","Some of them","No","No","Maybe","No","Yes"
"929","Yes","Yes","No","Some of them","No","Maybe","No","No"
"930","Maybe","No","Some of them","Some of them","Yes","Yes","No","Yes"
"931","Maybe","No","No","No","No","No","No","No"
"932","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"933","No","No","Yes","Yes","Maybe","Maybe","Yes","Yes"
"934","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"935","Maybe","Maybe","Some of them","Yes","No","Maybe","No","No"
"936","Maybe","No","Some of them","No","No","No","No","No"
"937","Yes","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"938","Maybe","No","Some of them","Yes","No","No","Yes","No"
"939","Yes","No","Some of them","No","No","No","Don't know","No"
"940","Maybe","No","Some of them","No","No","Maybe","No","No"
"941","Yes","No","Some of them","No","No","No","No","No"
"942","No","No","Some of them","Some of them","No","No","Yes","No"
"943","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"944","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"945","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"946","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"947","Yes","Maybe","Some of them","Yes","No","Maybe","No","Yes"
"948","Yes","Maybe","Some of them","Yes","No","Maybe","No","Yes"
"949","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"950","Maybe","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"951","No","No","Some of them","Yes","Yes","Yes","Yes","No"
"952","Yes","Maybe","No","No","No","No","No","No"
"953","No","No","Yes","Some of them","No","Maybe","Yes","No"
"954","No","No","Some of them","Some of them","No","Maybe","No","No"
"955","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"956","No","No","No","Yes","No","Maybe","No","No"
"957","No","No","Some of them","Yes","Yes","Yes","Yes","No"
"958","Yes","Maybe","Yes","No","No","Maybe","Don't know","No"
"959","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"960","Yes","Maybe","No","Some of them","No","Maybe","No","Yes"
"961","Yes","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"962","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"963","No","No","Yes","Yes","No","No","Don't know","No"
"964","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"965","No","No","Some of them","Yes","No","No","Don't know","No"
"966","Yes","Maybe","No","No","No","Maybe","No","Yes"
"967","Yes","Yes","No","No","No","No","Yes","Yes"
"968","No","No","Yes","Yes","No","Maybe","Don't know","No"
"969","No","No","Yes","Yes","No","No","Yes","No"
"970","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"971","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"972","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"973","Maybe","Maybe","No","Some of them","No","Maybe","Don't know","Yes"
"974","Maybe","No","No","No","No","No","Don't know","No"
"975","Maybe","Maybe","Yes","Yes","No","No","No","No"
"976","Maybe","Maybe","Some of them","Yes","No","Maybe","No","No"
"977","Yes","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","Yes"
"978","Yes","Yes","Some of them","No","No","No","Don't know","No"
"979","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"980","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"981","No","No","Yes","Yes","No","Yes","Yes","No"
"982","Yes","Yes","No","No","No","No","No","Yes"
"983","Yes","No","No","No","No","Yes","Yes","No"
"984","No","No","No","No","No","Maybe","Don't know","No"
"985","No","No","Some of them","Yes","No","No","Don't know","No"
"986","No","No","Yes","Yes","No","No","Yes","No"
"987","No","No","Some of them","No","No","No","Yes","No"
"988","Maybe","Maybe","No","No","No","No","Yes","No"
"989","Yes","No","No","No","No","Maybe","Yes","No"
"990","No","No","Some of them","Yes","No","No","Don't know","No"
"991","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"992","Yes","Yes","No","No","No","No","Don't know","No"
"993","Yes","No","No","No","No","No","Don't know","No"
"994","No","No","No","No","No","No","Don't know","No"
"995","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"996","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"997","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"998","Maybe","No","Some of them","No","Maybe","Maybe","Don't know","Yes"
"999","Yes","Yes","Some of them","Some of them","No","Maybe","Yes","Yes"
"1000","Maybe","No","Yes","Yes","No","No","Yes","No"
"1001","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"1002","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"1003","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"1004","Yes","No","No","No","No","No","Don't know","No"
"1005","Maybe","No","No","Yes","No","No","Don't know","No"
"1006","Maybe","No","No","Some of them","No","No","Yes","No"
"1007","Yes","Maybe","Some of them","Some of them","No","No","No","Yes"
"1008","No","No","Some of them","Yes","No","No","Don't know","No"
"1009","Yes","Maybe","Some of them","Some of them","No","Maybe","Yes","No"
"1010","Maybe","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"1011","No","No","Yes","Yes","No","Maybe","Yes","No"
"1012","Yes","No","Some of them","Some of them","No","No","No","Yes"
"1013","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1014","Yes","No","Some of them","Some of them","No","Yes","Don't know","Yes"
"1015","No","No","Some of them","Some of them","No","Maybe","No","No"
"1016","Maybe","Maybe","Some of them","Some of them","No","No","No","Yes"
"1017","No","No","Yes","Yes","No","Maybe","Yes","No"
"1018","Maybe","Maybe","No","No","No","Maybe","Don't know","No"
"1019","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"1020","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"1021","Maybe","No","Some of them","Yes","Maybe","No","Yes","No"
"1022","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"1023","Yes","Yes","No","No","No","No","Don't know","No"
"1024","Maybe","Maybe","Some of them","Yes","No","No","Don't know","No"
"1025","No","No","Some of them","Yes","No","No","Yes","No"
"1026","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"1027","Yes","Maybe","Some of them","Some of them","No","Maybe","No","No"
"1028","Yes","No","No","No","No","Yes","No","Yes"
"1029","Yes","Maybe","No","No","No","Maybe","Don't know","Yes"
"1030","Maybe","No","No","Some of them","No","No","Don't know","No"
"1031","No","No","Yes","Yes","No","Maybe","Yes","No"
"1032","Yes","No","Some of them","No","No","No","No","No"
"1033","No","No","Some of them","Yes","No","Maybe","Yes","No"
"1034","No","No","No","No","No","No","Don't know","No"
"1035","Yes","No","Some of them","Some of them","No","Maybe","No","No"
"1036","No","No","Some of them","Yes","No","No","Yes","No"
"1037","Yes","No","No","No","No","Maybe","Don't know","No"
"1038","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1039","Maybe","No","Some of them","No","No","Yes","No","Yes"
"1040","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1041","No","No","Some of them","Yes","No","No","Don't know","No"
"1042","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"1043","No","No","Some of them","Some of them","No","No","Yes","Yes"
"1044","No","No","Yes","Yes","No","Maybe","Yes","Yes"
"1045","No","No","Some of them","Yes","No","Maybe","No","Yes"
"1046","Yes","No","No","Some of them","No","Maybe","No","No"
"1047","No","No","Some of them","Some of them","No","Maybe","No","No"
"1048","No","No","Some of them","Some of them","No","No","Don't know","No"
"1049","Maybe","No","Some of them","No","No","Maybe","No","No"
"1050","No","No","Some of them","Yes","No","No","Yes","No"
"1051","Maybe","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"1052","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"1053","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1054","No","No","Some of them","Some of them","No","Yes","Don't know","No"
"1055","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"1056","Maybe","No","Some of them","No","No","Maybe","No","No"
"1057","No","No","No","No","No","No","Don't know","No"
"1058","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1059","Maybe","No","Yes","Yes","No","No","Don't know","No"
"1060","No","No","Some of them","Yes","No","Maybe","No","Yes"
"1061","Maybe","Maybe","No","Some of them","No","Maybe","Don't know","No"
"1062","Maybe","No","No","Yes","No","No","Don't know","No"
"1063","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"1064","Yes","Maybe","Some of them","No","No","Maybe","No","No"
"1065","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No"
"1066","Maybe","No","No","No","No","No","Don't know","No"
"1067","Maybe","Maybe","Some of them","No","No","No","Yes","Yes"
"1068","No","No","Some of them","Yes","No","No","Don't know","No"
"1069","Maybe","No","Some of them","No","No","Maybe","No","No"
"1070","Yes","Yes","No","No","No","Maybe","No","Yes"
"1071","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"1072","Maybe","No","Yes","Some of them","No","Maybe","No","Yes"
"1073","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"1074","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"1075","Maybe","No","Yes","Yes","No","Maybe","No","No"
"1076","No","Maybe","Yes","Yes","Maybe","No","Yes","No"
"1077","Yes","No","No","No","No","Maybe","No","No"
"1078","No","No","Some of them","Some of them","No","No","Yes","No"
"1079","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","No"
"1080","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"1081","No","No","Yes","Yes","No","No","Yes","No"
"1082","Yes","Maybe","Some of them","No","No","No","No","No"
"1083","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"1084","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"1085","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"1086","Yes","No","Yes","Yes","No","Yes","No","No"
"1087","Yes","No","No","No","No","No","Yes","No"
"1088","No","No","No","Yes","No","No","Yes","No"
"1089","No","No","No","No","No","No","No","Yes"
"1090","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"1091","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"1092","No","No","Some of them","Yes","No","Maybe","Yes","No"
"1093","No","No","Yes","Some of them","No","No","Yes","No"
"1094","Maybe","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"1095","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1096","Yes","Yes","No","No","No","Maybe","No","Yes"
"1097","No","No","Yes","Some of them","No","No","Yes","No"
"1098","Yes","Maybe","Some of them","No","No","Maybe","Don't know","No"
"1099","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"1100","Maybe","Maybe","Some of them","Yes","No","No","Don't know","No"
"1101","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"1102","Yes","No","No","No","No","Maybe","Don't know","No"
"1103","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"1104","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"1105","Maybe","Maybe","Yes","Some of them","No","Yes","No","No"
"1106","Maybe","No","Some of them","No","Maybe","Yes","Don't know","No"
"1107","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"1108","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"1109","Maybe","No","No","No","No","Maybe","Don't know","Yes"
"1110","Maybe","No","Yes","Some of them","No","Maybe","Don't know","No"
"1111","Yes","Maybe","No","Some of them","No","Maybe","Don't know","No"
"1112","Yes","No","No","Yes","No","Yes","Don't know","No"
"1113","Yes","Yes","No","No","No","No","Don't know","No"
"1114","No","No","Some of them","Yes","No","Yes","No","Yes"
"1115","Maybe","No","Some of them","Some of them","No","No","No","No"
"1116","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"1117","No","No","Some of them","Some of them","No","Maybe","Don't know","No"
"1118","No","No","No","No","No","No","Yes","No"
"1119","Maybe","No","Yes","Yes","Maybe","Yes","No","Yes"
"1120","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"1121","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"1122","Maybe","No","No","No","No","Yes","No","No"
"1123","Yes","No","Some of them","Some of them","No","Yes","No","No"
"1124","Maybe","No","No","No","No","No","Don't know","Yes"
"1125","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"1126","Yes","No","No","No","No","Maybe","No","Yes"
"1127","Yes","No","No","No","No","Maybe","No","Yes"
"1128","Maybe","No","Yes","Yes","Maybe","Maybe","No","No"
"1129","No","No","Some of them","Yes","No","Maybe","Yes","No"
"1130","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"1131","Maybe","No","No","No","No","No","Don't know","No"
"1132","Maybe","No","Some of them","No","No","No","Don't know","No"
"1133","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"1134","Maybe","Maybe","No","No","No","Yes","Don't know","Yes"
"1135","Yes","Maybe","No","No","No","No","Don't know","Yes"
"1136","Maybe","No","No","No","No","Yes","Yes","No"
"1137","No","No","Yes","Yes","No","Yes","Yes","No"
"1138","Maybe","No","No","No","No","No","Don't know","No"
"1139","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"1140","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Yes","No"
"1141","Yes","No","No","Some of them","No","Yes","Don't know","No"
"1142","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"1143","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","Yes"
"1144","Yes","Maybe","Some of them","No","No","Maybe","Don't know","No"
"1145","No","No","Yes","Yes","No","Maybe","No","No"
"1146","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"1147","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No"
"1148","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"1149","Yes","Yes","Some of them","Some of them","No","No","Don't know","No"
"1150","No","No","Some of them","Some of them","No","No","Don't know","No"
"1151","No","No","No","No","No","No","Don't know","No"
"1152","Yes","No","No","No","No","No","No","No"
"1153","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No"
"1154","Maybe","Yes","Some of them","No","No","No","Yes","No"
"1155","Yes","Yes","No","No","No","No","Don't know","No"
"1156","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"1157","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"1158","Maybe","No","Yes","Yes","No","No","Don't know","No"
"1159","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1160","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"1161","Yes","No","No","No","No","Maybe","Yes","No"
"1162","Maybe","No","Some of them","No","No","No","No","No"
"1163","Maybe","No","Some of them","Yes","Maybe","Yes","No","No"
"1164","Yes","Maybe","No","No","No","No","Don't know","No"
"1165","No","No","Yes","Yes","No","Maybe","Yes","Yes"
"1166","Maybe","No","Yes","Yes","Yes","Yes","No","Yes"
"1167","Yes","Yes","Some of them","No","No","Maybe","No","No"
"1168","No","No","Some of them","Yes","No","No","Don't know","Yes"
"1169","Maybe","Maybe","No","No","No","Maybe","No","No"
"1170","No","No","Some of them","Yes","No","Yes","No","Yes"
"1171","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"1172","Maybe","Maybe","Yes","Some of them","Maybe","No","No","No"
"1173","Maybe","Maybe","Some of them","No","No","No","No","No"
"1174","Maybe","No","Some of them","No","No","Maybe","No","Yes"
"1175","Maybe","Maybe","Some of them","Yes","No","No","Don't know","Yes"
"1176","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"1177","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"1178","No","No","Some of them","Yes","No","No","Yes","No"
"1179","Maybe","Maybe","No","No","No","No","Don't know","No"
"1180","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"1181","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"1182","Maybe","No","Some of them","No","No","No","Yes","No"
"1183","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"1184","Maybe","No","No","No","No","Maybe","Don't know","No"
"1185","No","No","Some of them","Yes","No","Yes","Don't know","No"
"1186","No","No","Some of them","Yes","Yes","Maybe","No","No"
"1187","No","No","Some of them","Yes","Yes","Yes","Don't know","No"
"1188","Yes","Yes","Some of them","Some of them","No","No","Yes","No"
"1189","Maybe","No","Some of them","No","No","Maybe","No","No"
"1190","Yes","Maybe","Some of them","Yes","No","Maybe","No","No"
"1191","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"1192","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"1193","Yes","No","No","No","No","Maybe","No","No"
"1194","Yes","Yes","Some of them","No","No","No","No","Yes"
"1195","No","No","Yes","Yes","No","Maybe","Don't know","No"
"1196","Maybe","Maybe","Some of them","Yes","No","Maybe","Don't know","No"
"1197","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"1198","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"1199","Maybe","No","Some of them","Yes","Maybe","Yes","Yes","No"
"1200","Maybe","Maybe","Some of them","Yes","No","No","No","No"
"1201","No","No","Some of them","Yes","Maybe","Maybe","Don't know","Yes"
"1202","Maybe","No","No","No","No","Maybe","No","No"
"1203","Maybe","Maybe","No","No","No","No","Don't know","No"
"1204","Yes","No","Yes","Some of them","No","No","No","Yes"
"1205","Maybe","Maybe","Some of them","Yes","No","Maybe","No","Yes"
"1206","Yes","Yes","Some of them","No","No","Maybe","No","Yes"
"1207","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"1208","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"1209","No","No","Some of them","Yes","No","No","Don't know","No"
"1210","Yes","Yes","Some of them","Some of them","No","No","No","No"
"1211","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"1212","No","No","Yes","Yes","No","No","Don't know","No"
"1213","Maybe","No","Some of them","No","No","No","No","No"
"1214","No","No","Some of them","Yes","Yes","Yes","Don't know","No"
"1215","No","No","Yes","Yes","Yes","Yes","Yes","No"
"1216","Maybe","No","Some of them","Some of them","No","Maybe","Yes","Yes"
"1217","Maybe","No","Some of them","No","No","Maybe","Yes","Yes"
"1218","No","No","Yes","Some of them","No","Maybe","Don't know","No"
"1219","Maybe","Maybe","No","Some of them","No","No","Yes","No"
"1220","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"1221","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No"
"1222","Yes","No","No","No","No","No","Don't know","No"
"1223","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"1224","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","Yes"
"1225","No","No","Yes","Yes","Yes","Yes","Yes","No"
"1226","No","No","Yes","Yes","No","Maybe","Don't know","No"
"1227","Yes","Maybe","No","No","No","Maybe","Don't know","No"
"1228","Maybe","No","Yes","Some of them","No","No","Don't know","No"
"1229","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"1230","Yes","Maybe","No","No","No","No","No","Yes"
"1231","Yes","Maybe","Some of them","Yes","No","No","No","Yes"
"1232","Maybe","No","Yes","Yes","Maybe","Yes","Don't know","No"
"1233","No","No","Some of them","No","No","No","Don't know","No"
"1234","Maybe","No","Some of them","No","No","No","Don't know","No"
"1235","Maybe","No","No","No","No","Maybe","Don't know","No"
"1236","No","No","Some of them","Yes","No","No","Don't know","No"
"1237","Maybe","No","Some of them","Yes","No","Yes","No","No"
"1238","Maybe","Maybe","No","Yes","No","Maybe","Don't know","Yes"
"1239","No","No","No","Some of them","Maybe","Yes","Don't know","No"
"1240","Yes","No","Some of them","No","No","Maybe","Don't know","Yes"
"1241","Yes","Maybe","No","No","No","No","Don't know","No"
"1242","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"1243","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"1244","No","No","Some of them","Yes","No","Yes","Yes","No"
"1245","Yes","No","Some of them","No","No","Maybe","No","No"
"1246","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"1247","No","No","Some of them","Some of them","No","No","Don't know","No"
"1248","No","No","Some of them","Yes","No","No","Yes","No"
"1249","Yes","Yes","No","No","No","No","No","No"
"1250","Yes","No","No","No","No","No","No","No"
"1251","Maybe","No","Some of them","No","No","No","Don't know","No"
